ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
178.5124673,0.5317529,0.3036,0.4019,-0.1563,14.849,0.116,9.3,0.9373,14.438,0.234,4.6,0.8789,1,0,0000,BB,10,58471.76443502,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.223887,328.278926
178.512505,0.531637,0.2425,0.3047,0.1049,14.84,0.092,11.9,1.201,14.373,0.196,5.5,0.8095,1,0,0000,AB,10,58995.43257639,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.227508,175.462422
178.5125085,0.5316364,0.3395,0.3771,0.1262,14.844,0.164,6.6,0.5365,14.352,0.195,5.6,1.191,1,0,0000,BB,5,58630.90784214,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.23099,172.387978
178.5125632,0.531715,0.2289,0.2482,-0.0346,14.545,0.08,13.5,1.439,14.435,0.43,2.5,0.5757,1,0,0000,AC,10,57740.4637758,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.233835,76.647809
178.512536,0.5316455,0.2091,0.2436,-0.043,14.631,0.08,13.5,0.6533,14.117,0.143,7.6,0.7855,1,0,0000,AB,10,57903.16229656,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.235144,146.554359
178.5125253,0.5316393,0.2711,0.3022,-0.0583,14.885,0.098,11.1,0.9871,14.627,0.231,4.7,0.6622,1,0,0000,AB,10,59726.44824911,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.236746,157.374309
178.5124584,0.5316489,0.2388,0.2564,-0.0318,14.718,0.082,13.2,0.5605,14.711,0.313,3.5,0.7419,1,0,0000,AB,10,58267.3079437,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.237204,219.147484
178.5125395,0.5317544,0.3168,0.3784,0.1303,14.857,0.115,9.4,0.3429,14.965,0.477,2.3,0.6481,1,0,0000,BC,10,58107.51671222,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.242014,35.982339
178.5124356,0.531722,0.3339,0.4126,0.0482,14.902,0.151,7.2,1.914,14.643,0.283,3.8,0.5865,1,0,0000,BB,10,59203.34733749,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.244982,288.861687
178.512562,0.5316712,0.3626,0.4013,-0.0741,15.192,0.123,8.9,0.6714,14.652,0.344,3.2,0.8229,1,0,0000,BB,10,59935.00310557,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.246098,114.916571
178.5125682,0.5316871,0.4131,0.4622,-0.127,14.679,0.144,7.5,0.9484,13.512,0.276,3.9,0.6804,1,0,0000,BB,10,57743.67320733,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.249869,100.711381
178.5125322,0.5317636,0.5553,0.6166,-0.2198,14.856,0.172,6.3,0.9002,13.629,,1.1,0.4574,1,0,0000,BU,10,57552.35506516,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.256621,26.851612
178.512563,0.5316649,0.2456,0.2908,-0.0866,14.835,0.092,11.7,1.83,14.078,0.151,7.2,0.3763,1,0,0000,AB,10,57903.81706853,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.259622,119.125102
178.5125069,0.531772,0.376,0.3431,0.1575,14.847,0.118,9.2,0.6618,14.601,0.286,3.8,0.8456,1,0,0000,BB,10,57014.54783852,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.260385,5.473894
178.5125127,0.5316283,0.3424,0.3597,0.063,15.059,0.117,9.3,0.5038,14.674,0.337,3.2,0.5404,1,0,0000,BB,5,58838.89305815,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.262139,169.955979
178.5125709,0.5316815,0.3763,0.4247,-0.1483,15.238,0.133,8.2,0.671,14.262,0.24,4.5,1.526,1,0,0000,BB,10,58471.63353146,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.263774,104.624766
178.5125435,0.5317631,0.3089,0.3751,0.1223,14.96,0.11,9.9,0.5653,14.864,0.437,2.5,0.4621,1,0,0000,BC,10,59203.41278919,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.275905,34.580525
178.5124715,0.5316274,0.2296,0.2877,-0.0491,14.663,0.085,12.8,0.7342,14.182,0.185,5.9,0.7228,1,0,0000,AB,10,57015.00791156,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.280775,201.432246
178.5125787,0.5317104,0.2464,0.2667,-0.0885,14.737,0.084,12.9,1.099,14.284,0.186,5.9,1.524,1,0,0000,AB,10,57376.28038617,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.285777,82.471809
178.5125527,0.5316365,0.3426,0.3759,-0.0696,14.997,0.112,9.7,0.6717,14.622,0.238,4.6,0.6012,1,0,0000,BB,10,58994.97479227,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.297074,140.31121
178.5125108,0.5316181,0.2931,0.295,-0.08,14.866,0.091,11.9,0.8095,14.523,0.362,3.0,0.719,1,0,0000,AC,5,59362.88794911,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.297392,172.488176
178.5125841,0.5317185,0.2307,0.2922,-0.0575,14.829,0.09,12.0,1.052,14.273,0.254,4.3,0.6015,1,0,0000,AB,5,57543.24824303,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.309991,77.593363
178.512533,0.5317798,0.2969,0.3187,-0.0602,14.883,0.112,9.7,0.9711,13.729,0.217,5.0,1.097,1,0,0000,BB,10,57740.7911622,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.310873,22.465878
178.5125711,0.531751,0.3253,0.4033,-0.105,15.087,0.112,9.7,0.889,14.695,0.318,3.4,0.7444,1,0,0000,BB,10,60091.04413243,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.314994,54.346973
178.5125741,0.5316533,0.2334,0.2348,-0.0812,14.55,0.073,15.0,1.304,14.361,0.263,4.1,0.6627,1,0,0000,AB,10,57184.3875239,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.315308,122.221449
178.5125708,0.5316482,0.2541,0.3056,-0.1149,14.934,0.099,11.0,1.336,13.843,0.151,7.2,0.3699,1,0,0000,AB,10,57543.51030492,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.315802,126.191811
178.5125467,0.5316256,0.2933,0.424,-0.0847,14.906,0.151,7.2,0.2097,14.301,0.189,5.8,0.4184,1,0,0000,BB,10,59362.56120025,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.316221,147.885104
178.5124104,0.5316977,0.2332,0.3124,0.0362,14.802,0.095,11.5,0.7564,13.904,,1.9,0.2788,1,0,0000,AU,10,58267.04626429,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.322653,268.529498
178.5124107,0.5316853,0.3201,0.33,-0.1258,14.862,0.11,9.9,0.4473,14.909,0.359,3.0,0.578,1,0,0000,BC,10,60091.23895943,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.3258,260.65177
178.5125915,0.5317016,0.2812,0.3063,-0.0802,14.98,0.1,10.8,0.7724,14.189,0.193,5.6,0.5964,1,0,0000,AB,10,59567.6670013,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.329433,88.998165
178.5125646,0.5316348,0.322,0.3566,-0.1234,14.815,0.1,10.9,1.462,14.163,,2.0,0.7208,1,0,0000,AU,10,57740.33274481,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.330407,135.266081
178.5125918,0.5317014,0.2434,0.2706,-0.091,14.794,0.086,12.7,1.161,14.219,0.198,5.5,1.115,1,0,0000,AB,10,57014.61354497,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.330507,89.126238
178.5124319,0.5317631,0.2629,0.2965,-0.086,14.683,0.087,12.5,0.6597,14.694,0.407,2.7,0.2298,1,0,0000,AC,10,57740.66025859,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.334216,312.818758
178.5124213,0.5316503,0.2413,0.2603,-0.072,14.781,0.089,12.2,1.465,13.938,0.138,7.9,1.337,1,0,0000,AB,10,58267.70065389,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.335077,237.725982
178.5125926,0.5316843,0.2154,0.2441,-0.0391,14.631,0.079,13.8,0.5384,14.294,0.202,5.4,0.7244,1,0,0000,AB,10,58107.90942278,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.338108,99.623192
178.5125629,0.5316301,0.3155,0.2926,-0.1185,14.754,0.101,10.7,1.059,14.491,0.287,3.8,0.5533,1,0,0000,AB,10,59726.77461656,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.338513,138.018543
178.5125045,0.5316047,0.2631,0.2741,-0.07,14.804,0.105,10.3,1.329,13.935,0.173,6.3,0.755,1,0,0000,AB,10,58266.8499086,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.343459,177.296657
178.5125528,0.5316203,0.2507,0.3176,0.0664,14.821,0.094,11.5,0.5946,14.541,0.332,3.3,0.5747,1,0,0000,AB,10,58995.36725205,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.344173,146.477287
178.5125875,0.5316597,0.2106,0.25,0.0835,14.594,0.076,14.4,1.814,14.83,0.407,2.7,0.7002,1,0,0000,AC,10,58838.89293079,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.346798,114.730384
178.5124948,0.5317963,0.3325,0.402,-0.081,15.158,0.123,8.8,0.7572,14.69,0.283,3.8,0.8698,1,0,0000,BB,10,59567.53635249,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.347179,356.909282
178.5125878,0.5317405,0.3682,0.4158,-0.0451,15.105,0.126,8.6,0.8396,14.44,0.284,3.8,0.7296,1,0,0000,BB,5,58472.09156653,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.348076,65.236337
178.5124497,0.5317828,0.2778,0.3023,-0.0976,14.867,0.093,11.7,1.489,14.167,0.209,5.2,0.6873,1,0,0000,AB,10,56648.68757581,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.348767,328.72292
178.5125619,0.5317762,0.2454,0.2858,0.0327,14.792,0.089,12.2,0.8779,14.487,0.286,3.8,0.5589,1,0,0000,AB,10,57740.85674138,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.353422,39.086989
178.5125217,0.5317959,0.2653,0.3149,-0.0233,14.988,0.099,11.0,1.105,14.471,0.286,3.8,0.6783,1,0,0000,AB,10,60090.97931742,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.35397,12.749495
178.5125981,0.5317106,0.3762,0.4031,0.0873,15.025,0.123,8.8,1.209,14.654,0.267,4.1,1.094,1,0,0000,BB,10,57377.13266256,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.355195,83.832682
178.5125224,0.531603,0.2403,0.278,-0.0495,14.784,0.087,12.5,1.376,14.395,0.25,4.3,0.9147,1,0,0000,AB,10,58631.62742806,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.358386,166.997296
178.5125632,0.531623,0.3235,0.3355,0.1157,14.785,0.111,9.7,0.8567,14.546,,1.5,0.4633,1,0,0000,BU,10,59203.151237,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.35861,140.622771
178.5124345,0.5316242,0.2773,0.2969,0.0906,14.72,0.092,11.8,0.6259,14.832,0.376,2.9,0.9838,1,0,0000,AC,10,56826.03481047,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.360633,220.829604
178.5125892,0.5316541,0.232,0.256,-0.0413,14.751,0.082,13.3,0.638,14.239,0.166,6.6,0.784,1,0,0000,AB,10,59362.03822376,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.36113,117.230175
178.5124667,0.5317947,0.4687,0.4645,0.2584,15.124,0.186,5.8,0.364,14.39,0.246,4.4,0.6521,1,0,0000,BB,10,57184.58426062,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.361378,340.627224
178.5125195,0.5316008,0.4095,0.5183,0.1916,15.05,0.192,5.7,0.6875,14.893,0.301,3.6,0.6771,1,0,0000,BB,10,59362.29964833,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.363957,168.879482
178.5124424,0.5316167,0.2602,0.2653,-0.0513,14.682,0.086,12.7,0.9038,14.099,0.188,5.8,0.7337,1,0,0000,AB,10,58108.10577803,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.36458,214.661797
178.512595,0.5316616,0.3213,0.3625,-0.127,14.947,0.1,10.8,1.35,14.526,,1.2,0.3713,1,0,0000,AU,10,59567.07895453,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.368869,112.009934
178.5124477,0.5316108,0.3025,0.3235,-0.1344,14.751,0.105,10.3,0.6626,14.013,0.204,5.3,0.5877,1,0,0000,AB,10,57184.12508098,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.372247,210.382995
178.512548,0.5316081,0.2877,0.3071,-0.1147,14.839,0.099,11.0,1.442,14.406,,1.5,0.6426,1,0,0000,AU,5,58995.82490425,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.373248,152.422638
178.5124521,0.5316079,0.2543,0.2899,-0.1141,14.905,0.093,11.7,1.13,13.984,0.148,7.3,0.5509,1,0,0000,AB,10,58267.56975046,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.373716,207.47734
178.5125749,0.5316265,0.258,0.2935,0.0871,14.772,0.091,12.0,1.487,14.426,0.263,4.1,0.5137,1,0,0000,AB,10,56825.17948302,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.377776,134.460723
178.5124772,0.5315971,0.569,0.6314,-0.2007,14.774,0.188,5.8,0.6456,13.544,0.394,2.8,0.5513,1,0,0000,BC,10,60094.02944292,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.379423,192.492908
178.5126061,0.5316992,0.2805,0.3344,0.0584,14.847,0.1,10.8,1.332,14.179,0.27,4.0,0.9394,1,0,0000,AB,10,58472.48414959,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.381954,90.432023
178.5124471,0.5316064,0.2358,0.2664,-0.0633,14.699,0.083,13.1,0.9729,14.206,0.193,5.6,0.5347,1,0,0000,AB,5,57904.01342355,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.387052,209.472816
178.5124538,0.5316005,0.336,0.3369,0.1153,14.965,0.105,10.4,0.7626,14.539,0.224,4.8,0.4202,1,0,0000,AB,10,57903.29319988,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.394929,204.905519
178.5126085,0.5317169,0.2743,0.3441,0.1123,15.071,0.101,10.7,1.241,15.224,0.524,2.1,0.3766,1,0,0000,AC,10,58995.23647615,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.395287,81.146352
178.5125113,0.5315906,0.2669,0.2852,-0.0819,14.758,0.088,12.3,0.9728,14.383,0.277,3.9,0.6025,1,0,0000,AB,10,58471.89521117,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.395932,174.103045
178.5125492,0.5316012,0.2151,0.2513,-0.0736,14.666,0.077,14.1,0.9773,14.543,0.234,4.6,1.057,1,0,0000,AB,10,57014.15359928,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.397337,153.528795
178.5126057,0.5316671,0.2545,0.3361,0.069,14.862,0.096,11.3,0.9616,14.648,0.336,3.2,0.7875,1,0,0000,AB,10,58471.76430771,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.398513,107.289886
178.512578,0.531618,0.2847,0.3555,0.0377,14.96,0.135,8.0,0.4885,14.034,0.213,5.1,1.218,1,0,0000,BB,10,56825.31102277,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.407409,136.433328
178.5124025,0.531759,0.2758,0.2924,0.0817,14.797,0.094,11.5,1.236,14.312,0.238,4.6,0.4983,1,0,0000,AB,10,56648.95116582,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.410252,301.180409
178.5125875,0.5316248,0.2506,0.2995,-0.0694,14.826,0.12,9.1,1.025,13.683,0.125,8.7,1.104,1,0,0000,BB,10,57184.45310285,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.415344,130.677924
178.5125787,0.5316156,0.2968,0.3762,-0.1717,14.858,0.121,9.0,1.274,,,,,1,0,0000,BX,10,57904.14445429,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.415435,137.002782
178.5125863,0.531622,0.2565,0.2983,0.0443,15.043,0.1,10.8,0.5449,14.179,0.188,5.8,0.7228,1,0,0000,AB,10,57903.75161682,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.418764,132.109254
178.5124978,0.5318168,0.2893,0.4154,-0.0051,14.935,0.114,9.5,0.4918,14.335,0.226,4.8,0.7154,1,0,0000,BB,10,59567.60167687,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.420554,358.920973
178.5125866,0.5316193,0.2502,0.2894,-0.0983,14.798,0.087,12.5,1.402,14.471,0.217,5.0,1.061,1,0,0000,AB,10,59726.83981359,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.426132,132.981475
178.512613,0.5316633,0.2802,0.2978,0.0596,14.809,0.1,10.8,0.606,13.913,,1.5,0.6766,1,0,0000,AU,5,58631.36574887,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.427703,107.99342
178.5125153,0.5315785,0.4097,0.4266,0.1737,15.081,0.186,5.9,1.076,13.925,0.184,5.9,0.715,1,0,0000,BB,10,56648.62161463,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.440853,172.82306
178.5123768,0.5317096,0.278,0.3537,-0.1197,14.606,0.142,7.6,0.5628,14.127,0.219,5.0,0.9031,1,0,0000,BB,10,57376.87047267,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.444842,274.455794
178.5125329,0.5318199,0.3389,0.3808,-0.0947,14.965,0.122,8.9,0.8099,14.252,0.227,4.8,0.9366,1,0,0000,BB,10,58108.2366815,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.447595,15.343407
178.5124804,0.5315759,0.2609,0.3245,0.022,14.995,0.095,11.4,1.169,14.974,0.346,3.1,0.8717,1,0,0000,AB,10,59362.49574859,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.452298,188.974617
178.5126216,0.5316663,0.3206,0.3528,-0.0786,15.014,0.115,9.4,0.8732,14.618,0.285,3.8,1.087,1,0,0000,BB,10,59203.2161794,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.454246,105.490717
178.5126116,0.5317658,0.3351,0.3668,-0.0414,15.076,0.125,8.7,0.7764,14.083,0.258,4.2,0.5498,1,0,0000,BB,10,58839.48174139,1784100001351056826,14.917,0.035,14.289,0.049,11.214,0.166,8.394,,,,,,,,,0.466375,59.475075
