Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 Normalised Flux Change,W1 Normalised Flux Change Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 Normalised Flux Change,W2 Normalised Flux Change Unc,Mean Z Score,Mean Z Score Unc,Mean Normalised Flux Change,Mean Normalised Flux Change Unc,W1 Gap,W2 Gap,SDSS Redshift,DESI Redshift
075448.10+345828.5,4.181329030942443,1.016026526034109,-23.261971860389206,5.652456499623357,0.18903476022453333,0.04593379982998692,0.6968861321295448,0.19051255485261334,6.31032878255016,1.8376866006754133,-4.0928797815497235,1.1919236844723713,0.11386995725112697,0.03316107636713536,0.4262985836418851,0.12562808037187867,9.461627363857883,1.5366430232337516,0.5615923578857149,0.11410241905235097,2348.3106907099937,2018.3628374699983,0.731,0.731107064002537
085913.72+323050.8,2.0444811696722724,1.1005005233172251,-4.449769923871398,2.395216058970453,0.13886886951681243,0.07475014484981596,0.41997650059682295,0.23559688392420786,1.3825431446156073,1.107994755065482,-2.8976277904308994,2.3222106351133505,0.16676987199095072,0.13365235232517117,0.5447813497900793,0.447317326441233,2.693605507147544,0.9208853071249428,0.48237892519345116,0.252783841576815,2555.0953212400054,1461.9095686400033,1.1216270000000002,1.1216775703259796
095035.55+321601.0,2.1252139411768525,1.0623573863058053,-5.926205963418888,2.962407010430795,0.18333608705197066,0.0916465126086133,0.910895663086856,0.4575889883218269,1.4549961410137968,1.0253357781752568,-6.4231224304426275,4.526374366150562,0.14546363419316488,0.10250822277626599,0.6183853186611694,0.43786476819187525,3.9823846190130414,1.4018701097159283,0.7646404908740128,0.31666750601266214,2903.655562,3112.754146129999,0.043525904,1.7181151508888266
113737.38+511839.9,1.7994434021272565,1.1489611460610303,-3.1804414667077023,2.0307410993024835,0.14412245031652107,0.09202350876556403,0.6572826201341181,0.458746422630284,,,,,,,,,2.4899424344174794,1.166621310403909,0.6378339693976438,0.31708588564449214,4539.754769309991,,0.21225469,1.0671462903073112
115103.77+530140.6,7.871196875292118,1.0000062973637787,-2217.919108933348,281.77837641680077,0.687907112019649,0.08739604089695054,2.9631265593560596,0.4570961323187124,4.636024907291233,1.100465932190235,-10.092029943385171,2.3955727938114495,0.4426253001159137,0.10506718001816,2.109312857391297,0.5793225114355866,560.1295901648292,70.44812063806307,2.5362197083736784,0.3689686458348328,2191.2881537950016,1826.4096552799965,0.5477126240730286,0.5474526187970954
115210.24+520205.1,5.210736372572126,1.4145233817448064,-5.208454534138523,1.4139039464890364,0.17733534643703755,0.04814002782128526,0.7155093087402552,0.21363995886334103,2.4493455368880515,1.0106971653209662,-16.700995924440388,6.8914936601043575,0.39121814549771683,0.16143213144970808,1.7271246496179398,0.7656997421179731,7.392383092009772,1.811666953296163,1.2213169791790974,0.3974726805400154,1819.643088910001,4574.79336992,0.617,0.6179116347101501
115403.00+003154.0,4.528654184065416,1.5171595651156922,-3.969186488417914,1.3297304236256116,0.2825940390319226,0.09467277295549081,0.3546365547097168,0.12279326854427394,4.440937476736021,1.3392308038297889,-4.985290622244336,1.503388598089523,0.2658464640419266,0.0801699586178028,0.7683083717436427,0.2414485323780513,4.481017192865922,0.7125514265795904,0.5614724632266798,0.1354396365427243,1980.8186492949972,2717.3357189150047,0.448395,0.448442945289411
121033.30-011755.6,9.717714263143849,1.4118910507484723,-9.74976401265612,1.4165475731867507,0.4887742412544199,0.07101422807632875,0.6247821514585068,0.10936515723738591,144.68871698259534,10.263124890967957,-14.165322155273559,1.004780976928946,0.5593346194495856,0.039674973798707894,0.8460116627918414,0.09559643542110076,44.580379353417214,2.6260874022189507,0.735396907125174,0.0726281902617345,4002.0609716300023,4366.3649254300035,0.5432739999999999,0.5433732864801115
122319.70+312737.0,3.045959191798392,1.3315719526833187,-3.464262366229376,1.514437427798838,0.2057274471973571,0.08993584002134948,1.0440286999459558,0.5642384041113278,1.5740118083570387,1.1450250326441767,-2.822086477751621,2.0529449932686012,0.13358000893058228,0.09717363826260103,0.6079193495466799,0.4492757717071359,2.726579961034107,0.7742847529599189,0.8259740247463179,0.3606292055966698,2711.232921210001,3842.631175429997,1.5214625597000122,1.5187960209484732
125545.34+232348.0,3.8962271552517245,2.286616963990949,-1.8947202032625454,1.111972989808035,0.12904447348609221,0.07573359314660252,0.5815133993414424,0.37159922491353803,6.166505873093272,1.8091996554727847,-4.089968862063255,1.199961600365338,0.2560031922293272,0.07510912933727555,1.281002404828358,0.5618689286680926,4.011855523417699,0.8358458405183036,0.9312579020849001,0.336816966971296,1254.4589807099983,731.1946247099986,0.5087944000000001,0.5096213409828562
