Object,W1 Before SDSS vs Before DESI,W2 Before SDSS vs Before DESI
115103.77+530140.6,-12.19496318629157,-8.888079674995415
115210.24+520205.1,5.58316442047439,-0.016897009832619783
125545.34+232348.0,-1.6570259866957209,-1.7383883608345028
134554.00+084537.3,5.860805873266006,2.286221607524082
140957.72-012850.5,-38.89989422040758,
141801.50+525200.7,0.33391721341166886,2.3133545167419207
142641.03+521214.3,2.1726004265770427,0.9945045265691296
144003.98+061936.5,32.95018574279711,17.09513419627217
144051.17+024415.8,-26.494569719775978,-17.662661008998228
152517.57+401357.6,-15.085667133119392,-9.267198736684852
153149.94+372755.4,0.47358553491554417,-0.2459075967976941
153938.92+373853.8,0.2318953971134983,1.4273668228477918
160730.20+560305.5,10.487011658164732,6.257390132368195
161903.04+540529.0,9.805995363540967,2.0765612641942273
162106.25+371950.7,-0.40553932064953646,-1.4340553820316682
164709.87+532202.2,3.7074793768772123,-1.4315132687028482
164900.95+452016.8,8.49675302279176,0.16426391098066437
213400.68+013828.4,1.0774415492533804,-2.35679226572781
221044.76+245958.0,9.668263137624743,8.63755914116085
221925.57+272806.4,-11.37857904134413,-5.462291361982958
