Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 Normalised Flux Change,W1 Normalised Flux Change Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 Normalised Flux Change,W2 Normalised Flux Change Unc,Mean Z Score,Mean Z Score Unc,Mean Normalised Flux Change,Mean Normalised Flux Change Unc,W1 Gap,W2 Gap,SDSS Redshift,DESI Redshift
133248.24+324000.9,3.733070178801935,1.0676970987141983,-9.9778659939482,2.8537739883895137,0.2635016079090868,0.07536421465329897,1.0361047877422558,0.31526336596572546,1.9867287569844554,1.2933539468734554,-2.422183640733296,1.5768336572274397,0.11700733260688198,0.07617139224880612,0.5261599211266761,0.3610943391026587,4.529962142616972,0.9166232829613578,0.7811323544344659,0.23967692403109275,731.0940909150013,2376.76137095,0.736,0.7366029976049315
141626.48+533406.5,4.0690689564505,1.733150150788748,-2.874529963491826,1.2243567491710652,0.1624388974941457,0.06918806309232951,0.9266389622815719,0.4949813519235879,,,,,,,,,3.4717994599711632,1.0609970422225266,0.726399441704124,0.30634770297983654,1827.3995813400034,,1.131,1.131961551074392
121558.74+453842.2,4.561086258633073,1.2522532953152299,-6.051196360363677,1.661365331234912,0.1076696046369795,0.029560856683371096,0.3359799549032214,0.09411118494656295,4.422855118162666,1.5643262092497723,-3.676638809414346,1.3003958524196475,0.13684911984154674,0.04840236886842134,0.4308705891406118,0.16054281055415193,4.67794413664344,0.7274277859946445,0.3834252720219166,0.09304690907369316,1982.9161111950016,2537.1140154199966,1.158347,1.156391402888851
074232.54+175149.4,5.16227350444639,1.3676641247039625,-5.532932040831897,1.4658643425523772,0.11832079934815476,0.031347256656468335,0.30316666398649994,0.08201908000871712,5.351728829635084,2.397972212144882,-2.4554716190226666,1.1002337557764958,0.11970941669209978,0.05363871449729294,0.3121999912266014,0.14541159649560095,4.625601498484009,0.8284039049709478,0.3076833276065507,0.0834740406966079,1252.654609584999,3844.8276680049967,1.8820387125015257,1.884858455178732
164329.77+305239.6,10.925838948247415,1.3957289326522495,-11.221141884569812,1.433452612643748,0.22891692127564534,0.029243152101317275,0.32922902322124037,0.043152623357251424,7.774011340499797,1.485172679185515,-7.0797629411640814,1.3525411830246938,0.16489027190765904,0.03150117952940648,0.2635722360590217,0.051300889970743106,9.250188778620275,0.7087820180120037,0.29640062964013103,0.03351839127405689,3286.4201095300014,3110.675590769999,0.955003,0.9595402302164668
143414.20+524331.8,2.3840211925387718,1.1495425972800979,-4.20488985461118,2.0275407030249615,0.08836348540045902,0.04260767095102645,0.4112378624120952,0.20233092890366378,1.8996554801823091,,,,0.12259913124494737,,0.5135609825439292,,2.82952217577742,,0.46239942247801225,,207.79892970999936,2744.976288910002,1.5533399581909182,1.5568834240251166
081935.23+343715.2,1.9708102350922705,,,,0.13521816891248345,,0.7060822691178762,,,,,,,,,,1.9708102350922705,,0.6098216258309027,,3635.023804659999,,1.8034463,1.7993653415975197
113535.58+541907.8,3.4941221195975056,1.7445649073837461,-2.444274881715577,1.2203912847590321,0.07667384289578047,0.03828214671719645,0.30737433695408223,0.15826044160923897,1.032320851750671,1.1504385701757271,-1.8149789007523522,2.022648024535839,0.09067593469401139,0.10105103707032455,0.3645832564493442,0.41284633112460506,2.1964241884540265,0.7884904699367553,0.3359787967017132,0.22107038500294332,2193.921715015007,3111.5284524399976,1.948,1.9485654250579287
154114.33+311831.2,5.077152991866303,1.237510410828514,-6.9646034329983655,1.6975594923838067,0.1068071343738084,0.0260332790739406,0.3152249939271689,0.0781467112293211,3.1910044457546323,1.1357911553922502,-5.925326357971055,2.109032871812422,0.10904890411946394,0.03881435545127048,0.32190364037239755,0.11590379118934602,5.289521807147589,0.7965229693072235,0.3185643171497832,0.06989384323390442,3270.49006833,892.9927960999994,1.207482,1.2092446608888148
154515.89+432953.0,6.067905019244365,1.4454012895875405,-5.814173276448978,1.3849612881236717,0.14111710805950306,0.03361470710651804,0.09799411836948976,0.023400982155318505,6.857747292807005,2.1837273604519107,-3.5325449727979468,1.1248759657879133,0.16011089540371937,0.050984460066979584,0.14498586456539472,0.04655007458035718,5.568092640324574,0.7922008023828327,0.12148999146744224,0.02605050579773045,1455.767243039998,161.38206160999835,0.908074,0.9077127094183388
172846.07+575028.9,4.783959397304592,,,,0.0935410833982823,,0.46689877698050597,,2.1013381987900086,,,,0.13507718703344496,,0.6672469489493434,,3.4426487980473004,,0.5670728629649247,,1826.6319391399957,4746.9842625050005,1.719961,1.7149336444120364
125817.68+244013.8,15.33057312353282,1.359739279637121,-16.639200300946495,1.475807463206763,0.35773803493671175,0.031729437249606834,0.6353095310868844,0.06134788193815757,12.477908596359262,1.616554837638983,-9.824060415496037,1.2727399200985867,0.29563178676199287,0.03830008781995698,0.6565317064505577,0.0957055240886881,13.567935609083655,0.7185060466147543,0.645920618768721,0.056839928658005405,3445.8513322849976,3812.7488378499984,0.9796,0.9750363198338976
155926.49+153004.1,8.237268919492758,1.569219224187594,-6.811501921718355,1.2976072367696092,0.15378909350889652,0.029297186283849613,0.3626985554301794,0.07174329301939406,3.8398670950446427,2.3358534881021784,-1.8190024938455491,1.1065287456430282,0.1226445828241064,0.07460669067328612,0.2537190526050471,0.15834671187109003,5.176910107525327,0.8226045107344347,0.3082088040176133,0.08692062651300415,1987.9819902650052,1989.172556724996,1.5543,1.5495728102828767
160439.71+545228.7,4.547542471222607,1.2448175138958375,-6.134299853110424,1.6791671415852785,0.11707673924950307,0.03204789760840115,0.29777677256639395,0.08278343161629076,4.748448092763228,1.3968560765693332,-4.868713276333923,1.4322346148177514,0.103474060536696,0.030439075547286174,0.2456609687145953,0.07332168657823894,5.074750923357546,0.723346209588306,0.2717188706404946,0.055292780434805844,1984.2850305200045,179.57094874000177,1.6132696866989136,1.6122626319113578
