ra_sdss,dec_sdss,z_sdss,sdss_name,sdss_PLATE,sdss_MJD,sdss_FIBERID,ra_desi,dec_desi,z_desi,desi_name,MJD_desi,mag
5.568804079655706,27.761834817556,0.35791102,002216.51+274542.6,7694,57359,14,5.568813825361253,27.76184500716506,0.3578401668436319,39628430454558480,59202.17537678,0.0
355.87407800171053,27.521736835107145,0.14020497,234329.77+273118.2,7698,58013,288,355.87409012205865,27.521750304945183,0.140146537646239,39628430311950427,59203.06679002,19.13459014892578
355.55184209159086,27.870552178317148,0.14173993,234212.44+275213.9,7698,58013,376,355.55184908156167,27.87056672323153,0.1414933432979653,39628435659687100,59203.06679002,19.2257080078125
150.13798996844343,2.291651316148412,0.18544333,100033.11+021729.9,4737,55630,193,150.13798591841274,2.2916515401925985,0.1851157735034084,39627841603637025,59251.35798574,0.0
149.66190945861038,2.396895619310736,0.35551384,095838.85+022348.8,4737,55630,317,149.66191269701994,2.3969015062781,0.3552355192579379,39627847635045420,59251.35798578,0.0
158.32812170899118,10.680781786950217,0.4630662,103318.74+104050.8,5346,55955,583,158.3280805324297,10.680709762501875,0.4624354092530662,39628045782355153,59264.35927602,0.0
144.21792678737737,31.2980290759914,0.40945363,093652.30+311752.9,5807,56329,27,144.2179569977844,31.29802841350977,0.4093481380753874,39628506249824293,59231.39937784,0.0
144.44529298351685,31.48483968976817,0.6908326,093746.87+312905.4,5807,56329,12,144.44528067931515,31.48480104085668,0.6914058858233612,39628511421402077,59231.39937784,0.0
126.78277562144385,32.813542501526605,0.40145808,082707.86+324848.7,4442,55532,245,126.78272767105965,32.81351762618258,0.4009123215487819,39632934860228459,59218.40398648,0.0
136.08502280347184,31.32314084771161,0.5193572,090420.40+311923.3,5184,56352,35,136.08501240206678,31.323150406044608,0.5184884496222084,39628506132384411,59246.38425255,0.0
135.89141555259636,32.27224432599505,1.0090157,090333.93+321620.0,10438,58142,543,135.89140602667558,32.272248900452034,1.0099323388241928,39628526726416449,59246.38425255,18.872941970825195
133.43733273444448,32.89328304434191,0.52593833,085344.95+325335.8,5186,56337,97,133.43730508223885,32.89328780090654,0.525925535334407,39632940040193948,59266.15531622,0.0
135.72750353497392,33.819975039726856,0.6589164000000001,090254.60+334911.9,5812,56354,859,135.7274794052237,33.82000652262067,0.6581661449405367,39632955240351233,59246.38425254,19.452163696289062
164.44879893777303,32.78508696495161,0.16573648,105747.71+324706.3,6442,56369,360,164.4486750097953,32.785051094965574,0.1658042546419942,39632935392905014,59246.36149373,0.0
153.95721189572473,33.16723297616963,0.12755351,101549.73+331002.0,10231,58171,147,153.95718373455594,33.16721518142148,0.1274391527808239,39632945396320546,59218.46286913,19.55217170715332
144.45221012953218,33.669203908680075,0.9786217,093748.53+334009.1,10228,58223,526,144.45221244198842,33.66917372290684,0.9772793356379436,39632955361986451,59231.39937792,20.090532302856445
144.65963672542406,33.64554453317482,0.6288050999999999,093838.31+333843.9,10228,58223,570,144.6596444810145,33.64550210207704,0.6286358769398572,39632955366179674,59231.39937791,20.524078369140625
153.99227145344662,39.547408607816976,0.3926824,101558.14+393250.6,4562,55570,256,153.99224709334226,39.547414249420136,0.392138842937531,39633067245045615,59218.44402793,0.0
153.2437628253301,40.925318112316496,0.3286507,101258.50+405531.1,4562,55570,662,153.24376955045554,40.92534607693575,0.3285975491787773,39633094973590921,59218.44402793,0.0
151.30190802358186,41.30378443006778,0.26847926,100512.45+411813.6,4566,55630,808,151.30189614273118,41.303797236668096,0.2681092845753137,39633099516020600,59218.44402793,0.0
157.37548995184503,44.39884079346373,1.2439138,102930.11+442355.8,8357,58157,728,157.37546723164473,44.398833751403295,1.2461660297856922,39633157321917788,59218.50292617,19.51873779296875
156.95992716908856,44.52631426024128,0.3772739,102750.38+443134.7,8357,58157,682,156.9599386608135,44.52630962970304,0.3770173936619219,39633157317722536,59218.50292617,20.72824478149414
156.97551303625278,43.71454474493461,0.8266264999999999,102754.12+434252.3,4557,55588,908,156.97550719092845,43.71455393070525,0.8274701464594465,39633144265049048,59218.50292617,19.38672637939453
164.90573553993283,47.02231848549378,0.81903833,105937.37+470120.3,6664,56383,909,164.90567600676928,47.022291642916365,0.818985208002698,39633199705360274,59245.43696603,20.231103897094727
169.01675711077533,51.16109584795132,0.5450499,111604.02+510939.9,6699,56411,120,169.01675261515172,51.16110584749948,0.5449601271951102,39633267179128273,59216.39936099,20.36289024353028
167.61710887043233,51.36677257937139,0.8791174999999999,111028.10+512200.3,8165,57374,130,167.61707752692527,51.36677628855179,0.8790978876341582,39633267162353254,59216.39936099,19.836162567138672
24.42327378211013,20.86572843014428,0.46299085,013741.58+205156.6,5116,55857,185,24.423310091144515,20.865752812273573,0.4621653185720722,39628276246776299,59217.15573633,0.0
24.8247203185104,21.387451105488765,0.21924627,013917.93+212314.8,7634,56935,693,24.824707707647285,21.387457783350552,0.2188248355896796,39628293187570039,59217.15573633,19.36515235900879
115.13928683816356,32.355348857542246,0.3246467,074033.42+322119.2,4443,55539,302,115.1392637244387,32.35534875683157,0.3238122802236971,39628526432814213,59217.3830565,0.0
114.16418166232944,33.09687815439883,0.32929075,073639.40+330548.7,4444,55538,924,114.16416301623843,33.096854717854484,0.3289073216107593,39632939767565848,59217.3830565,0.0
115.90666991335064,37.96759212173989,0.53104645,074337.60+375803.3,9368,57817,614,115.90667640138832,37.967617442098735,0.5305956876913428,39633038396622607,59203.22569178,21.047422409057614
114.20274857714725,39.152774643818695,0.49429643,073648.65+390909.9,9369,58054,306,114.20273788385944,39.1527875267489,0.4939503660709382,39633062044109718,59203.22569178,20.350435256958008
124.63751387935665,33.11493611531193,0.40904006,081833.00+330653.7,9353,57814,18,124.637519568917,33.114933324430844,0.4085663098260639,39632939914366677,59218.40398648,20.87393379211425
124.63982280612971,33.37148051054696,0.43685535,081833.55+332217.3,10233,58130,522,124.63982916080424,33.37146855205262,0.4375090789083504,39632944985278586,59218.40398648,19.553829193115234
120.22503357049118,39.28866393260672,0.19901298,080054.00+391719.1,9360,58055,579,120.2250449686768,39.28867273310191,0.1986535389631623,39633062123800121,59217.42208256,18.31123352050781
119.52156714547336,39.63749927800516,0.2536665,075805.17+393814.9,9357,57807,879,119.52154555872582,39.63749033329036,0.2532730539415064,39633071464515965,59217.42208256,0.0
119.7257620057272,41.08238625547848,0.47069153,075854.18+410456.5,5944,56220,192,119.72576999024048,41.08239008496216,0.4698894989184888,39633094549965380,59217.42208256,0.0
33.916072838352136,29.63120399329925,0.6637566999999999,021539.85+293752.3,7738,58100,42,33.9161149335432,29.6312165491792,0.6634420333956341,39628473345513074,59204.16182551,20.90108871459961
