Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 Normalised Flux Change,W1 Normalised Flux Change Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 Normalised Flux Change,W2 Normalised Flux Change Unc,W1 Gap,W2 Gap,Mean Z Score,Mean Z Score Unc,Mean Normalised Flux Change,Mean Normalised Flux Change Unc,Redshift
141915.40+535522.7,2.5091824293846914,1.1504261403317786,-4.411723809859986,2.0227155807207002,0.1542054844532341,0.07070112488434299,0.6314225673226599,0.3555740518811573,,,,,,,,,1304.5335686800026,,3.4604531196223385,1.1634924392587338,0.7650519153289022,0.24493789241821007,0.24493789241821007
140431.65+034802.4,1.9865301724979625,,,,0.3268083136711991,,1.6066202904793698,,2.5130973358363127,,,,0.3274261177489224,,1.4595466917940318,,2181.945837350002,3109.3054836599986,2.2498137541671377,,1.5330834911367008,,
135248.81+372218.2,4.712356320147625,1.1855193193098608,-7.400587975919068,1.8618159204543057,0.21868987036815213,0.05501728830444033,0.618371061619026,0.15982608143241123,2.8513710709072537,1.0668507456369283,-7.670895268543578,2.8700930652090118,0.16220732729705,0.060690455142890065,0.46107873745013694,0.17526495594155891,366.80968369999755,4746.382539409999,5.658802658879381,0.9436438448423271,0.5397248995345815,0.11859825155460381,0.11859825155460381
133959.22+352020.2,4.065197624616093,,,,0.1405223529158176,,0.6435259735208964,,3.1113170980270315,,,,0.4334032707707607,,2.0258019591389598,,3447.897065969999,2903.275816919995,3.588257361321562,,1.334663966329928,,
140212.25+022240.3,1.6017847207724207,,,,0.1855096226811206,,0.9457733442087211,,,,,,,,,,4747.870650999997,,1.6017847207724207,,1.4857876516738404,,
165729.61+315006.6,3.551615297329555,,,,0.20012399196689876,,1.151116368560645,,,,,,,,,,2740.84411002,,3.551615297329555,,1.5884591638498025,,
092900.33+333148.7,4.102048526867807,1.1477387194626043,-7.282205078268275,2.0375353135516554,0.14651349692770924,0.04099396002908776,0.5745104612726208,,2.0468621788511343,1.0185291137883103,-10.58385224525647,5.266579137183571,0.2268970529017226,0.11290513675077223,0.8160812837745063,,2018.1474543749937,4175.738296580006,6.003742007310922,1.4629403543458153,0.6952958725235636,,
121635.46+461421.0,1.6118621012609227,,,,0.1356764478865939,,0.8000639608981691,,,,,,,,,,2555.48207808,,1.6118621012609227,,0.8080726223363377,,
125203.00+284355.6,6.127562542610909,1.6092842486226675,-4.859785277386524,1.276327388615131,0.33646330447748196,0.08836549482274728,0.8150009362342392,0.23384145462107161,3.6253031859215232,1.6300497269304253,-2.8162742150212097,1.2662849918274102,0.22678542697369958,0.10196982275740651,0.6452377106025229,0.3012699873828481,533.7305324900008,2191.2272424499897,4.357231305235041,0.7279829663437979,0.730119323418381,0.19068654330927506,0.19068654330927506
083403.90+312352.1,3.4046111153660297,,,,0.17914072835465628,,0.8484280018815038,,,,,,,,,,3810.555913990007,,3.4046111153660297,,0.7468328562420133,,
